language,term,system,truth,score
es,teacher training,Formación docente,Formación de profesores,0.70
es,furniture,mobiliario,Muebles,0.35
es,distribution warehouses,almacén de distribución,Almacenes de distribución,0.96
es,community telephone centers,centro telefónico comunitario,centros telefónicos comunitarios,0.95
es,conference facilities,instalaciones de conferencia,Salas de conferencias,0.82
es,nutmeg mace cardamoms,"Nuez moscada, macre, cardamomo","Nuez moscada, macis, cardamomos",0.91
es,biologics,productos biológicos,Biológicos,0.67
es,boards,Placas de circuito impreso,Tableros,0.12
es,boreholes,pozos de perforación,perforaciones,0.67
es,student dorms,dormitorios universitarios,Residencias de estudiantes,0.31
es,pathways,caminos,vías,0.36
es,pile drivers,martillos de pilotes,Martillo pilón,0.76
es,mine shafts,pozo de mina,Pozos mineros,0.64
es,biogassifiers,digestores anaeróbicos,biogasificadores,0.26
es,vehicles  students or teachers transport school buses vans boats etc,vehículos escolares,"Vehículos - transporte de alumnos o profesores (autobuses escolares, furgonetas, barcos, etc.)",0.36
es,pigeno peas,guisante de pigeon,Pigeno peas,0.34
es,yams,ignames,Ñames,0.83
es,high school,escuela secundaria,Bachillerato,0.13
es,leguminous crops nec,Cultivos leguminosos n.e.c.,Leguminosas n.c.o.p.,0.65
es,electricity transmission lines overhead,líneas de transmisión aérea de electricidad,Líneas aéreas de transmisión de electricidad,0.85
es,printing presses,prensas de impresión,Imprentas,0.41
es,market facilities,facilidades de mercado,Instalaciones del mercado,0.68
es,technological equipment,Equipo tecnológico,Equipamiento tecnológico,0.86
es,other citrus fruit nec,"Otros frutos cítricos, n.e.c.","Otros cítricos, n.c.o.p.",0.77
es,cinnamon canella,Canela,Canela (canella),0.60
es,district hospital,hospital distrital,hospital de distrito,0.84
es,equiments,equipo,Equiments,0.53
es,historic buildings,edificio histórico,Edificios históricos,0.95
es,other cereals nec,"Otros cereales, n.e.c.","Otros cereales, n.c.o.p.",0.92
es,rainage structures,estructuras de drenaje pluvial,estructuras pluviales,0.75
es,other nuts nec,Otros NUTS n.e.c.,Otros frutos de cáscara n.c.o.p.,0.57
es,treatment facilities,instalaciones de tratamiento,Centros de tratamiento,0.76
es,mate,jaque mate,Mate,0.57
es,letrines,letri,Letrinas,0.77
es,teachers housing,vivienda docente,Vivienda para profesores,0.60
es,mechanized wells,pozo mecanizado,Pozos mecanizados,0.94
es,health management system,sistema de gestión de la salud,Sistema de gestión sanitaria,0.72
es,small marketplaces,mercados pequeños,pequeños mercados,0.47
es,school dispensaire nurse,enfermero escolar,Dispensario/enfermero escolar,0.76
es,operating room,Sala de operaciones,Quirófano,0.14
es,water quality laboratories,laboratorios de análisis de la calidad del agua,Laboratorios de calidad del agua,0.81
es,vanilla,vanilla,Vainilla,0.93
es,pears  quinces,peras y cógenas,Peras y membrillos,0.61
es,artifacts,artefacto,Artefactos,0.95
es,solar home systems for electrification,sistemas solares domésticos para la electrificación,sistemas solares domésticos para electrificación,0.97
es,concrete mixers,mezcladora de concreto,Hormigoneras,0.29
es,electricity transmission underwater,transmisión eléctrica submarina,Transporte de electricidad submarino,0.75
es,cantaloupes and other melons,Melón cantalupo y otros melones,Melones y otros melones,0.78
es,production machinery,máquinas de producción,Maquinaria de producción,0.91
es,government house,Casa del Gobierno,Casa de Gobierno,0.97
es,hatcheries,incubadora,incubadoras,0.95
es,carrots,zanahoria,Carrots,0.25
es,applicance,aparato,Aplicación,0.47
es,jetties,muelle,embarcaderos,0.22
es,storefronts,Puntos de venta en línea,Escaparates,0.17
es,other equipments,Equipos diversos,Otros equipos,0.48
es,other permanent spice crops nec,"Otros cultivos de especias permanentes, n.c.c.","Otros cultivos permanentes de especias, n.c.o.p.",0.68
es,recording studios,estudio de grabación,Estudios de grabación,0.98
es,studios,Estudios,Studios,0.93
es,other low cost offgrid systems,otros sistemas fuera de la red de bajo costo,otros sistemas de bajo coste no conectados a la red,0.59
es,laboratory diagnostic equipments,Equipos de diagnóstico en laboratorio,Equipos de diagnóstico de laboratorio,0.97
es,light passenger,vehículo ligero de pasajeros,Pasajero ligero,0.42
es,linseed,linaza,Semillas de lino,0.27
es,binding machines,máquinas de encuadernación,Encuadernadoras,0.54
es,faculty,cuerpo docente,Facultad,0.27
es,ground extraction systems,sistema de extracción del suelo,Sistemas de extracción del suelo,0.98
es,precarious housing  multi family housing  appartment buildings,vivienda precaria - vivienda multifamiliar - edificios de apartamentos,Viviendas precarias - Viviendas plurifamiliares - edificios de apartamentos,0.92
es,imaging equipments,equipos de imagen,Equipos de diagnóstico por imagen,0.68
es,cow peas,guandule,Guisantes de vaca,0.48
es,saunas,sauna,Saunas,0.91
es,other electronics,Electrónica diversa,Otros aparatos electrónicos,0.48
es,pumping systems surface,Superficie de los sistemas de bombeo,Sistemas de bombeo de superficie,0.53
es,beans,JavaBeans,Judías,0.40
es,scanners,escáner,Escáneres,0.88
es,tangerines mandarins clementines,mandarinas,"Mandarinas, mandarinas, clementinas",0.47
es,monitoring stations,estaciones de monitoreo,Estaciones de control,0.82
es,communityrun radio and communication systems,radios y sistemas de comunicación comunitarios,sistemas comunitarios de radio y comunicación,0.53
es,excavators,excavadora,Excavadoras,0.95
es,compressors,compresor,Compresores,0.90
es,day care center,centro de guardería,Guardería,0.64
es,processing plants,planta de procesamiento,Plantas de transformación,0.62
es,forklifts,montacargas,Carretillas elevadoras,0.30
es,concrete pump trucks,camión-pompa de hormigón,Camiones hormigonera,0.74
es,sugar cane,caña de azúcar,Sugar cane,0.33
es,workshops,taller,Talleres,0.86
es,landmark,punto de referencia,Hito,0.17
es,laundry appliances,aparatos de lavado,Aparatos de lavandería,0.85
es,playgrounds,áreas de juego,parques infantiles,0.38
es,per type of road  paved gravel dirt roads,tipo de superficie de carretera,"Por tipo de carretera (asfaltada, grava, tierra)",0.45
es,nutmeg mace cardamoms,"Nuez moscada, macre, cardamomo","Nuez moscada, macis, cardamomos",0.91
es,large passenger bus,autobús de gran capacidad,Autobús grande de pasajeros,0.62
es,cinnamon canella,Canela,Canela (canella),0.60
es,tents,tiendas,Carpas,0.31
es,weirs,dique,presas,0.18
es,dams,presa,Presas,0.91
es,other pome fruits and stone fruits nec,"Otros frutos de manzana y frutos de hueso, n.e.c.","Otras frutas de pepita y frutas de hueso, n.c.o.p.",0.78
es,tanks,tanque,Tanques,0.92
es,pumpkin squash and gourds,Cucurbita,"Calabaza, calabacín y calabazas",0.26
es,extraction of oil  inland,Extracción de petróleo - continental,Extracción de petróleo - interior,0.81
es,drains,drenajes,desagües,0.38
es,box culverts,culvert de caja,alcantarillas,0.29
es,laundry facilities,instalaciones de lavandería,Lavandería,0.54
es,blood banks,banco de sangre,Bancos de sangre,0.97
es,walkways,pasarela,pasarelas,0.94
es,rigid  23 axle cargo vehicle,camión rígido (2-3 ejes),Vehículo de carga rígido (2-3 ejes),0.64
es,books,libro,Libros,0.91
es,specialized stages for movie production,etapas especializadas de producción cinematográfica,Escenarios especializados para la producción de películas,0.63
es,houseboats,casa flotante,Casas flotantes,0.93
es,pump houses,casa de bombas,casas de bombas,0.97
es,parliament house,Palacio del Parlamento,Parlamento,0.62
es,monuments,Monumento,Monumentos,0.95
es,sheds,cabanas,cobertizos,0.35
es,primary health centers,Centro de salud primaria,Centros de salud primaria,0.98
es,religious sites,sitios religiosos,Lugares religiosos,0.69
es,community water supply,suministro de agua comunitario,abastecimiento comunitario de agua,0.56
es,college,colegio,Universidad,0.22
es,onsite restaurants,restaurantes en el sitio,Restaurantes,0.67
es,newspapers,periódico,Periódicos,0.95
es,solar pv,Paneles fotovoltaicos solares,Energía solar fotovoltaica,0.58
es,pepper piper spp 2,Pimienta (Piper spp.) 2,Pimiento (piper spp.) 2,0.95
es,storage areas,áreas de almacenamiento,Almacenes,0.50
es,associated energy supplies,fuentes de energía asociadas,Suministros energéticos asociados,0.66
es,medium passenger services,servicios de transporte de pasajeros de media distancia,Servicios de pasajeros medios,0.67
es,student residences,Residencias universitarias,Residencias de estudiantes,0.62
es,pepper piper spp 2,Pimienta (Piper spp.) 2,Pimiento (piper spp.) 2,0.95
es,storage furniture,muebles de almacenamiento,Muebles de almacenaje,0.87
es,assembly lines,línea de ensamblaje,Líneas de montaje,0.72
es,boreholdes,Boreholdes,Sondeos,0.47
es,footbridges,pasarela,pasarelas,0.94
es,sweet potatoes,boniato,Boniatos,0.93
es,barracks,caserones,Cuarteles,0.56
es,emergency medical services,servicios médicos de emergencia,Servicios médicos de urgencia,0.93
es,cauliflowers  broccoli,coliflor y brócoli,Coliflores y brécol,0.86
es,online storefronts,tienda en línea,Escaparates en línea,0.63
es,poles,pólos,Postes,0.55
es,house trailers,casa móvil,Remolques casa,0.33
es,cherries  sour cherries,cerezas y cerezas ácidas,Cerezas y guindas,0.68
es,storage tanks,tanques de almacenamiento,Depósitos,0.29
es,early childhood center,Centro de educación infantil,Centro infantil,0.70
es,outpatient centers,centro ambulatorio,Centros ambulatorios,0.95
es,jute kenaf and other similar,"Jute, kenaf y otros similares","Yute, kenaf y otros similares",0.96
es,alfalfa for forage and silage,Alfalfa para forraje y ensilaje,Alfalfa forrajera y ensilada,0.81
es,recreational vehicles rvs  camper vans,furgoneta camper,Vehículos de recreo (RV) - furgonetas camper,0.56
es,regasification terminals,terminal de regasificación,Terminales de regasificación,0.96
es,school water facilities,instalaciones de agua potable escolar,Instalaciones escolares de agua,0.62
es,chairs,presidente,Sillas,0.25
es,milling machines,máquinas de fresado,Fresadoras,0.48
es,recreation grounds,área de recreo,Terrenos de recreo,0.75
es,boat houses,casa de botes,Casas flotantes,0.64
es,driling rigs onshore,perforadora terrestre,Plataformas de perforación en tierra,0.46
es,water sources,fuente de agua,Fuentes de agua,0.97
es,haul tracks,pista de transporte,Vías de arrastre,0.51
es,handling machineries,equipos de manipulación,Maquinaria de manipulación,0.78
es,inroom appliances,Aparatos de habitación,Electrodomésticos en la habitación,0.61
es,gooseberries,grosellas,Grosellas espinosas,0.64
es,diagnostic  laboratory services,Servicios de diagnóstico y de laboratorio,Servicios de diagnóstico y laboratorio,0.96
es,filming locations,locaciones de filmación,Lugares de rodaje,0.45
es,leeks  other alliaceous vegetables,Puerros y otras verduras alliáceas,Puerros y otras hortalizas aliáceas,0.81
es,other temporary fire crops,Otros cultivos temporales combustibles,Otros cultivos temporales,0.79
es,community waste disposal and composting plants,instalaciones de tratamiento de residuos y compostaje comunitarias,plantas comunitarias de eliminación de residuos y compostaje,0.51
es,batteries,baterías,Pilas,0.46
es,storage facilities,instalaciones de almacenamiento,Almacenes,0.40
es,forage products nec,"Productos de forraje, otros","Productos forrajeros, n.c.o.p.",0.78
es,protection walls,muro de protección,muros de protección,0.97
es,turbines,turbina,Turbinas,0.93
es,graveyards,cementerio,cementerios,0.95
es,other temporary oilseed crops nec,"Otros cultivos temporales de semillas oleaginosas, n.e.c.","Otros cultivos oleaginosos temporales, n.c.o.p.",0.57
es,stalls,estancamiento,Puestos,0.40
es,sound stages,plataformas de sonido,Escenarios sonoros,0.41
es,backhoes,retroexcavadora,Retroexcavadoras,0.97
es,editing hardwarde,Hardware de edición,Edición de hardwarde,0.46
es,supporting equipments,Equipos de soporte,Equipos de apoyo,0.76
es,shelter,albergue,Refugio,0.27
es,marketing facilities,infraestructuras de marketing,instalaciones de comercialización,0.45
es,pipe culverts,culvert tubular,alcantarillas,0.29
es,other connective,otro conector lógico,Otros conectivos,0.67
es,sewage pipelines,tuberías de alcantarillado,Canalizaciones de aguas residuales,0.27
es,manufacturing plant,planta de fabricación,Fábrica,0.50
es,fishing engines,motor de pesca,Motores de pesca,0.93
es,cameras,cámara,Cámaras,0.92
es,record storage sites,sitio de almacenamiento de registros,Almacenes de archivos,0.56
es,other sugar crops  sugar maple sweet sorghum,"Otros cultivos de azúcar (arce de azúcar, sorgo dulce)","Otros cultivos azucareros (arce azucarero, sorgo dulce)",0.70
es,pumps,bomba,Bombas,0.91
es,correctionaries,correcciónarios,Correccionales,0.83
es,vacuum trucks,camión de aspiración,Camiones aspiradores,0.75
es,medicines,medicamentos,Medicines,0.67
es,asphalt pavers,pavimentadora de asfalto,Adoquines de asfalto,0.64
es,restaurants,restaurante,Restaurantes,0.96
es,other permanent spice crops nec,"Otros cultivos de especias permanentes, n.c.c.","Otros cultivos permanentes de especias, n.c.o.p.",0.68
es,extraction of oil  offshore,Extracción de petróleo en alta mar,Extracción de petróleo - offshore,0.73
es,raspberries,frambuesa,Frambuesas,0.95
es,industrial units,unidades industriales,Naves industriales,0.87
es,students libraries,bibliotecas estudiantiles,Bibliotecas para estudiantes,0.87
es,precarious housing  multi family housing  house complex,vivienda precaria - vivienda multifamiliar - complejo de viviendas,Viviendas precarias - Viviendas plurifamiliares - Complejo de viviendas,0.92
es,fishing gear,equipo de pesca,Artes de pesca,0.69
es,scaffolding,andamiaje,Andamios,0.71
es,major fixtures,componentes principales,Principales accesorios,0.49
es,precarious housing  single family houses  detached houses,Viviendas precarias – Viviendas unifamiliares – Viviendas unifamiliares aisladas,Viviendas precarias - Viviendas unifamiliares - casas aisladas,0.84
es,separation equipment,Equipo de separación,Equipos de separación,0.98
es,pipes,tubo,Tuberías,0.50
es,cloves,clavo de olor,Clavo,0.56
es,water trucks,camión de agua,Camiones cisterna,0.58
es,fishing vesselsboats,embarcaciones de pesca,Barcos de pesca,0.81
es,treatment plants,planta de tratamiento,Depuradoras,0.31
es,school cafeteria,cafetería escolar,Comedor escolar,0.69
es,vanilla,vanilla,Vainilla,0.93
es,maize for forage and silage,Maíz para forraje y ensilaje,Maíz forrajero y ensilado,0.79
es,studios music,música de estudio,Studios music,0.40
es,distribution centers,centro de distribución,Centros de distribución,0.98
es,pipeline network,red de tuberías,Red de oleoductos,0.56
es,grinding machinery,máquinas de rectificado,Maquinaria de rectificado,0.92
es,batching plants,planta de dosificación de concreto,Plantas de hormigón,0.53
es,river intakes,tomas de río,tomas fluviales,0.52
es,precarious housing  single family houses  attached houses,Viviendas unifamiliares - casas adosadas,Viviendas precarias - Casas unifamiliares - casas adosadas,0.82
es,shopping centers,centro comercial,Centros comerciales,0.91
es,other oleaginous fruits nec,"Otros frutos oleaginosos, n.e.c.","Otros frutos oleaginosos, n.c.o.p.",0.95
es,tunnels,túnel,Túneles,0.83
es,prisons,prisión,Prisiones,0.88
es,apples 2,Apples 2,Manzanas 2,0.44
es,wells,pozo,Pozos,0.89
es,rollers,rodillo,Rodillos,0.93
es,other community communication lifelines,otras líneas de vida de comunicación comunitaria,otros medios de comunicación comunitarios,0.76
es,cereal straw husks unprepared ground pressed or in the form of pellets,"Paja de cereales, tallos, no preparadas, trituradas, prensadas o en forma de pellets","Paja y cascabillo de cereales, en bruto, molidos, prensados o en pellets",0.59
es,movie studios,estudio cinematográfico,Estudios de cine,0.62
es,parking facilities,instalaciones de estacionamiento,Aparcamiento,0.45
es,spinach,espinaca,Espinacas,0.94
es,mobile manufactured houses,casa móvil,Casas móviles/fabricadas,0.61
es,mobile healthcare unit,Unidad móvil de atención médica,Unidad móvil de asistencia sanitaria,0.75
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86
es,aquaculture  agriculturefisheries  agriculture,"Acicultura - Agricultura, Pesca - Agricultura","Acuicultura - Agricultura, Pesca - Agricultura",0.99
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,commerce and trade,Comercio y comercio,Comercio,0.59
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,permanent perennial crops  agriculture,Cultivos permanentes,Permanentes - cultivos perennes - Agricultura,0.48
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,temporary  annual crops  agriculture,Cultivos anuales temporales,Temporal - cultivos anuales - Agricultura,0.61
es,human life  health and livelihoods,Vida humana - salud y medios de vida,Vida humana: salud y medios de subsistencia,0.83
es,biotic living components of an ecosystem,Biotico,Biótico (componentes vivos de un ecosistema),0.29
