language,term,system,truth,lex_score,sem_score
es,2 week course,Curso de dos semanas,Curso de 2 semanas,0.89,0.99
es,foundations,Fundamentos,Cimientos,0.60,0.59
es,building reinforcement,refuerzo de edificio,Refuerzo del edificio,0.98,0.87
es,evacuation training,Entrenamiento de evacuación,Ejercicio de evacuación,0.72,0.88
es,radio system,sistema radio,Sistema de radio,0.90,0.99
es,protect electrics,Protección eléctrica,Proteja las instalaciones eléctricas,0.68,0.92
es,secure fittings,acoplamientos seguros,Sujete los accesorios,0.38,0.48
es,retrofit the building,retrofit del edificio,Remodelación del edificio,0.74,0.83
es,anchor heavy item,elemento de anclaje pesado,Sujetar los objetos pesados,0.45,0.77
es,raised building,edificio elevado,Construcciones sobreelevadas,0.45,0.74
es,asphalt roof,techo de asfalto,...,0.00,0.23
es,clay roof,techo de arcilla,...,0.00,0.33
es,metal roof,tejado metálico,Techo metálico,0.83,0.68
es,roof sprinkler,rociador de techo,Aspersor de tejado,0.57,0.88
es,metal shutters,persianas metálicas,Postigos metálicos,0.70,0.88
es,plywood shutters,persianas de contrachapado,...,0.00,0.24
es,glass shutters,persianas de vidrio,...,0.00,0.22
es,wire shutters,persianas de alambre,...,0.00,0.21
es,building reinforcements,refuerzos estructurales,Refuerzo del edificio,0.50,0.56
es,water tank protection,Protección de tanques de agua,Proteger los depósitos de agua,0.64,0.89
es,remove fuel sources,Supresión de fuentes de combustible,Elimine las materias combustibles,0.59,0.90
es,water source upgrade,Mejora de la fuente de agua,Remozar la fuente de agua,0.81,0.90
es,secure roofing,techo seguro,Techos seguros,0.92,0.54
es,sewer backflow,inversión de alcantarillado,Reflujo de las canalizaciones sanitarias,0.45,0.39
es,storm shutters,persiana de protección contra tormentas,Postigos de tormenta,0.51,0.68
es,waterproof sealant,sellador impermeable,Sellado de estanquidad,0.48,0.42
es,ocean waves,olas oceánicas,Las olas del mar,0.47,0.97
es,shallow water,agua poco profunda,Aguas poco profundas,0.95,0.96
es,rock,roca,Rocas,0.89,0.54
es,light mud,lodo ligero,Barro ligero,0.70,0.59
es,light mud,lodo ligero,Barro ligero,0.70,0.59
es,mud,lodo,Barro,0.22,0.69
es,mud,lodo,Barro,0.22,0.69
es,flood,inundación,Inundar,0.71,0.52
es,flood,inundación,Inundar,0.71,0.52
es,arid ground,suelo árido,Terreno árido,0.67,0.94
es,burnt land,zona quemada,Tierra quemada,0.69,0.85
es,expensive clearance costs,costos de despacho aduanero elevados,Encarecen la limpieza y preparación del terreno.,0.22,0.07
es,earthquake strikes,Sismo,¡Tiembla la tierra!,0.17,0.56
es,wood hut,cabaña de madera,Choza de madera,0.77,0.87
es,brick cottage,casa de ladrillos,Una cabaña de ladrillo,0.77,0.81
es,old house,Casa antigua,Una casa antigua,0.86,0.98
es,old town house,Casa de la ciudad vieja,Vieja Casa de Pueblo,0.42,0.89
es,old terraced house,casa adosada antigua,Vieja Cerca de Terraza,0.19,0.66
es,large house,casa de gran tamaño,Casa grande,0.60,0.78
es,modern housing,Vivienda moderna,Casas modernas,0.60,0.74
es,pylon,pylón,Torre de conducción eléctrica,0.12,0.05
es,commercial block,Bloque comercial,Zona comercial,0.73,0.78
es,power station,central eléctrica,Generador,0.38,0.49
es,tsunami strikes,¡Tsunami ataca!,¡Ha habido un tsunami!,0.46,0.58
es,shrubs,Arbusto,Arbustos,0.93,0.87
es,logs,registros,Troncos,0.50,0.45
es,sand dunes,dunas de arena,Dunas,0.53,0.50
es,large rocks,rocas de gran tamaño,Rocas voluminosas,0.49,0.67
es,bamboo hut,cabaña de bambú,Choza de bambú,0.76,0.90
es,hotel cabins,cabaña de hotel,Cabañas de hotel,0.97,0.93
es,boat,barco,Bote,0.44,0.88
es,debris,detritos,Escombros,0.47,0.65
es,debris,detritos,Escombros,0.47,0.65
es,breakwater,molo,Rompeolas,0.46,0.60
es,flash floods,inundaciones repentinas,¡Inundación repentina!,0.91,0.95
es,wood hut,cabaña de madera,Choza de madera,0.77,0.87
es,brick cottage,casa de ladrillos,Una cabaña de ladrillo,0.77,0.81
es,pylon,pylón,Torre de conducción eléctrica,0.12,0.05
es,commercial block,Bloque comercial,Zona comercial,0.73,0.78
es,power station,central eléctrica,Generador,0.38,0.49
es,stabilized slope,pendiente estabilizada,Una pendiente estabilizada,0.92,0.95
es,earth levee,dique,Dique de tierra,0.50,0.79
es,rock dyke,dique,Dique de piedra,0.50,0.65
es,1 meter wall,Pared de un metro,Muro de 1 metros,0.67,0.36
es,3 meter wall,Pared de 3 metros,Muro de 3 metros,0.79,0.71
es,wildfire strikes,Incendio forestal,¡Se desatan incendios forestales!,0.69,0.93
es,4 bedroom house,Casa de cuatro dormitorios,Casa de 4 dormitorios,0.85,0.99
es,3 bedroom house,casa de 3 habitaciones,Casa de 3 dormitorios,0.70,0.97
es,6 bedroom house,casa de seis dormitorios,Casa de 6 dormitorios,0.89,0.99
es,water tower,torre de agua,Arca de agua,0.72,0.75
es,firebreaks,trinchero,Cortafuegos,0.30,0.69
es,dry bushes,arbustos secos,Arbusto seco,0.92,0.95
es,hurricane strikes,Ataque de huracán,¡Pasó el huracán!,0.61,0.82
es,banana trees,bananero,Plataneras,0.56,0.41
es,minimal clearance costs,costos de despacho aduanero mínimos,Se puede despejar el terreno a un costo mínimo.,0.57,0.46
es,logs,registros,Troncos,0.50,0.45
es,shrubs,Arbusto,Arbustos,0.93,0.87
es,sand dune,duna de arena,Dunas,0.44,0.57
es,an empty pier,muelle vacío,Un muelle vacío.,0.89,0.88
es,sea port,puerto marítimo,Puerto de mar,0.71,0.74
es,small hut,pequeña choza,Cabaña pequeña,0.52,0.78
es,large hut,Gran choza,Cabaña grande,0.35,0.69
es,brick cottage,casa de ladrillos,Una cabaña de ladrillo,0.77,0.81
es,oil drum,bidón,Barriles de petróleo,0.32,0.30
es,telephone pole,Pilar telefónico,Poste de teléfono,0.61,0.69
es,seawall,muro costero,Barrera marina,0.23,0.58
es,stop,STOP,DETENER,0.18,0.58
es,disasters,desastres,LOS DESASTRES,0.82,0.90
es,play,Juego,Jugar,0.60,0.63
es,time,Tiempo,HORA,0.20,0.84
es,time mins,minutos,{{TIME}} minutos,0.74,0.88
es,share,parte,Compartir,0.57,0.62
es,off,Apagado,APAGAR,0.77,0.80
es,on,ON,ENCENDER,0.20,0.63
es,language  currentlang,idioma,Idioma - {{CURRENTLANG}},0.48,0.45
es,settings,Parámetros,Ajustes,0.35,0.75
es,info,información,Info,0.53,0.95
es,previous,previo,Anterior,0.43,0.88
es,restart,reinicio,Reinicie,0.88,0.98
es,home,domicilio,Inicio,0.53,0.55
es,back,parte trasera,Atrás,0.56,0.81
es,buy cost,Costo de compra,Comprar {{COST}},0.44,0.64
es,add to cart,Añadir al carrito,Añadir a la cesta,0.71,0.73
es,scroll up,desplazamiento hacia arriba,Scroll Up,0.11,0.53
es,scroll down,Desplazar hacia abajo,Scroll Down,0.12,0.66
es,demolish structure,demolición de estructura,Demoler la estructura,0.76,0.85
es,develop defences,Desarrollo de defensas,Desarrollar defensas,0.86,0.86
es,develop buildings,desarrollo de edificios,Desarrollar edificios,0.86,0.83
es,upgrade buildings,modernización de edificios,Modernizar edificios,0.83,0.98
es,repeat last purchase,Repetición de la última compra,Repetir última compra,0.78,0.97
es,view tile information,Ver información de la tesela,Información sobre azulejos,0.63,0.65
es,share via email,Compartir por correo electrónico,Compartir por e-mail,0.63,0.99
es,get involved,Participar,Participa,0.95,0.94
es,get your badge,Obtenga su insignia,Consigue tu insignia,0.62,0.93
es,take survey,participar en una encuesta,Tomar la encuesta,0.65,0.90
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  equipments,Equipos,Activos - equipos,0.61,0.81
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  equipments,Equipos,Activos - equipos,0.61,0.81
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  equipments,Equipos,Activos - equipos,0.61,0.81
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  road infrastructure,Activos - Infraestructuras viales,Activos - Infraestructura vial,0.95,0.90
es,assets  equipments,Equipos,Activos - equipos,0.61,0.81
es,assets  equipments,Equipos,Activos - equipos,0.61,0.81
es,handdug wells,pozo a mano,Pozos excavados a mano,0.67,0.49
es,electricity transmission underground,Transmisión subterránea de electricidad,Transporte subterráneo de electricidad,0.86,0.94
es,graders,calificador,Graders,0.33,0.56
es,pipelines oil  oleduct,oleducto,Oleoductos - oleducto,0.57,0.85
es,internal roads,camino interno,carreteras interiores,0.51,0.85
es,intake structures,estructura de admisión,Estructuras de admisión,0.98,0.94
es,grapefruit  pomelo,pomelo,Pomelo y toronja,0.55,0.85
es,driling rigs offshore,plataforma de perforación offshore,Plataformas de perforación en alta mar,0.75,0.91
es,cucumbers,pepino,Pepinos,0.92,0.94
es,basic drainage lines,líneas de drenaje básicas,líneas básicas de drenaje,0.68,0.99
es,specialized equipment,Equipo especializado,Equipos especializados,0.95,0.99
es,vehicles  management,Gestión de vehículos,Vehículos - gestión,0.47,0.63
es,generation plants,central eléctrica,Plantas de generación,0.32,0.33
es,strawberries,fresa,Fresas,0.91,0.62
es,deep tube wells,pozo tubular profundo,pozos tubulares profundos,0.91,0.93
es,bulldozers,bulldozer,Bulldozers,0.95,0.94
es,oil palms,palmera aceitera,Palmeras de aceite,0.82,0.74
es,completion systems,Sistema de completado,Sistemas de terminación,0.59,0.84
es,water reservoirs,reservorio de agua,depósitos de agua,0.63,0.91
es,police stations,estaciones de policía,Comisarías de policía,0.71,0.89
es,pipelines gas gaseoduct,gasoducto,Gasoductos gasoducto,0.62,0.96
es,railcars,vagón,Vagones,0.83,0.43
es,tv studios,estudio de televisión,Estudios de televisión,0.98,0.95
es,community shops,tienda comunitaria,tiendas comunitarias,0.95,0.96
es,lupins,lupino,Lupin,0.91,0.83
es,mixing rooms,salas de mezcla,Salas de mezclas,0.97,0.91
es,cloves,clavo de olor,Clavo,0.56,0.37
es,drilling machinery,equipo de perforación,Maquinaria de perforación,0.78,0.89
es,asparagus,espárrago,Espárragos,0.95,0.86
es,conveyor system,sistema de transportador,Sistema transportador,0.93,0.99
es,public toilets,inodoros públicos,Aseos públicos,0.71,0.70
es,turnips,nabo,Nabos,0.89,0.75
es,onions incl shallots,cebollas (incl. chalotas),Cebollas (incluidas las chalotas),0.83,0.97
es,peaches  nectarines,Duraznos y nectarinas,Melocotones y nectarinas,0.67,0.96
es,office space,espacio de oficina,Oficinas,0.54,0.87
es,drill wells,perforación de pozos,Pozos de perforación,0.55,0.94
es,pump jacks,jale,Gatos de bombeo,0.21,0.53
es,plums and sloes,ciruelas y ciruelas del prunellier,Ciruelas y endrinas,0.53,0.88
es,color grading labs,laboratorios de corrección de color,Laboratorios de gradación del color,0.86,0.92
es,septic tanks,tanque séptico,Fosas sépticas,0.57,0.49
es,coconuts,coco,Cocos,0.89,0.62
es,tribunal facilities,instalaciones judiciales,Instalaciones del Tribunal,0.68,0.93
es,crushing machinery,equipos de trituración,Maquinaria de trituración,0.77,0.78
es,small embankments,dique pequeño,pequeños diques,0.50,0.93
es,teacher training,Formación docente,Formación de profesores,0.70,0.93
es,furniture,mobiliario,Muebles,0.35,0.48
es,distribution warehouses,almacén de distribución,Almacenes de distribución,0.96,0.80
es,community telephone centers,centro telefónico comunitario,centros telefónicos comunitarios,0.95,0.98
es,conference facilities,instalaciones de conferencia,Salas de conferencias,0.82,0.91
es,nutmeg mace cardamoms,"Nuez moscada, macre, cardamomo","Nuez moscada, macis, cardamomos",0.91,0.77
es,biologics,productos biológicos,Biológicos,0.67,0.86
es,boards,Placas de circuito impreso,Tableros,0.12,0.33
es,boreholes,pozos de perforación,perforaciones,0.67,0.86
es,student dorms,dormitorios universitarios,Residencias de estudiantes,0.31,0.64
es,pathways,caminos,vías,0.36,0.94
es,pile drivers,martillos de pilotes,Martillo pilón,0.76,0.33
es,mine shafts,pozo de mina,Pozos mineros,0.64,0.60
es,biogassifiers,digestores anaeróbicos,biogasificadores,0.26,0.58
es,pigeno peas,guisante de pigeon,Pigeno peas,0.34,0.31
es,yams,ignames,Ñames,0.83,0.56
es,high school,escuela secundaria,Bachillerato,0.13,0.41
es,leguminous crops nec,Cultivos leguminosos n.e.c.,Leguminosas n.c.o.p.,0.65,0.66
es,printing presses,prensas de impresión,Imprentas,0.41,0.71
es,market facilities,facilidades de mercado,Instalaciones del mercado,0.68,0.89
es,technological equipment,Equipo tecnológico,Equipamiento tecnológico,0.86,0.94
es,cinnamon canella,Canela,Canela (canella),0.60,0.88
es,district hospital,hospital distrital,hospital de distrito,0.84,0.91
es,equiments,equipo,Equiments,0.53,0.39
es,historic buildings,edificio histórico,Edificios históricos,0.95,0.90
es,other cereals nec,"Otros cereales, n.e.c.","Otros cereales, n.c.o.p.",0.92,0.98
es,rainage structures,estructuras de drenaje pluvial,estructuras pluviales,0.75,0.86
es,other nuts nec,Otros NUTS n.e.c.,Otros frutos de cáscara n.c.o.p.,0.57,0.74
es,treatment facilities,instalaciones de tratamiento,Centros de tratamiento,0.76,0.91
es,mate,jaque mate,Mate,0.57,0.78
es,letrines,letri,Letrinas,0.77,0.61
es,teachers housing,vivienda docente,Vivienda para profesores,0.60,0.79
es,mechanized wells,pozo mecanizado,Pozos mecanizados,0.94,0.84
es,health management system,sistema de gestión de la salud,Sistema de gestión sanitaria,0.72,0.99
es,small marketplaces,mercados pequeños,pequeños mercados,0.47,0.99
es,school dispensaire nurse,enfermero escolar,Dispensario/enfermero escolar,0.76,0.93
es,operating room,Sala de operaciones,Quirófano,0.14,0.26
es,water quality laboratories,laboratorios de análisis de la calidad del agua,Laboratorios de calidad del agua,0.81,0.96
es,vanilla,vanilla,Vainilla,0.93,0.42
es,pears  quinces,peras y cógenas,Peras y membrillos,0.61,0.77
es,artifacts,artefacto,Artefactos,0.95,0.94
es,concrete mixers,mezcladora de concreto,Hormigoneras,0.29,0.39
es,electricity transmission underwater,transmisión eléctrica submarina,Transporte de electricidad submarino,0.75,0.90
es,production machinery,máquinas de producción,Maquinaria de producción,0.91,0.96
es,government house,Casa del Gobierno,Casa de Gobierno,0.97,0.98
es,hatcheries,incubadora,incubadoras,0.95,0.96
es,carrots,zanahoria,Carrots,0.25,0.27
es,applicance,aparato,Aplicación,0.47,0.68
es,jetties,muelle,embarcaderos,0.22,0.75
es,storefronts,Puntos de venta en línea,Escaparates,0.17,0.16
es,other equipments,Equipos diversos,Otros equipos,0.48,0.88
es,recording studios,estudio de grabación,Estudios de grabación,0.98,0.95
es,studios,Estudios,Studios,0.93,0.41
es,laboratory diagnostic equipments,Equipos de diagnóstico en laboratorio,Equipos de diagnóstico de laboratorio,0.97,0.99
es,light passenger,vehículo ligero de pasajeros,Pasajero ligero,0.42,0.56
es,linseed,linaza,Semillas de lino,0.27,0.59
es,binding machines,máquinas de encuadernación,Encuadernadoras,0.54,0.53
es,faculty,cuerpo docente,Facultad,0.27,0.83
es,ground extraction systems,sistema de extracción del suelo,Sistemas de extracción del suelo,0.98,0.99
es,imaging equipments,equipos de imagen,Equipos de diagnóstico por imagen,0.68,0.71
es,cow peas,guandule,Guisantes de vaca,0.48,0.53
es,saunas,sauna,Saunas,0.91,0.95
es,other electronics,Electrónica diversa,Otros aparatos electrónicos,0.48,0.64
es,pumping systems surface,Superficie de los sistemas de bombeo,Sistemas de bombeo de superficie,0.53,0.79
es,beans,JavaBeans,Judías,0.40,0.48
es,scanners,escáner,Escáneres,0.88,0.96
es,tangerines mandarins clementines,mandarinas,"Mandarinas, mandarinas, clementinas",0.47,0.80
es,monitoring stations,estaciones de monitoreo,Estaciones de control,0.82,0.71
es,excavators,excavadora,Excavadoras,0.95,0.89
es,compressors,compresor,Compresores,0.90,0.80
es,day care center,centro de guardería,Guardería,0.64,0.70
es,processing plants,planta de procesamiento,Plantas de transformación,0.62,0.47
es,forklifts,montacargas,Carretillas elevadoras,0.30,0.46
es,concrete pump trucks,camión-pompa de hormigón,Camiones hormigonera,0.74,0.65
es,sugar cane,caña de azúcar,Sugar cane,0.33,0.81
es,workshops,taller,Talleres,0.86,0.95
es,landmark,punto de referencia,Hito,0.17,0.38
es,laundry appliances,aparatos de lavado,Aparatos de lavandería,0.85,0.93
es,playgrounds,áreas de juego,parques infantiles,0.38,0.49
es,nutmeg mace cardamoms,"Nuez moscada, macre, cardamomo","Nuez moscada, macis, cardamomos",0.91,0.77
es,large passenger bus,autobús de gran capacidad,Autobús grande de pasajeros,0.62,0.92
es,cinnamon canella,Canela,Canela (canella),0.60,0.88
es,tents,tiendas,Carpas,0.31,0.41
es,weirs,dique,presas,0.18,0.83
es,dams,presa,Presas,0.91,0.81
es,tanks,tanque,Tanques,0.92,0.88
es,drains,drenajes,desagües,0.38,0.81
es,box culverts,culvert de caja,alcantarillas,0.29,0.52
es,laundry facilities,instalaciones de lavandería,Lavandería,0.54,0.95
es,blood banks,banco de sangre,Bancos de sangre,0.97,0.95
es,walkways,pasarela,pasarelas,0.94,0.77
es,books,libro,Libros,0.91,0.94
es,houseboats,casa flotante,Casas flotantes,0.93,0.97
es,pump houses,casa de bombas,casas de bombas,0.97,0.97
es,parliament house,Palacio del Parlamento,Parlamento,0.62,0.86
es,monuments,Monumento,Monumentos,0.95,0.96
es,sheds,cabanas,cobertizos,0.35,0.75
es,primary health centers,Centro de salud primaria,Centros de salud primaria,0.98,0.98
es,religious sites,sitios religiosos,Lugares religiosos,0.69,0.92
es,community water supply,suministro de agua comunitario,abastecimiento comunitario de agua,0.56,0.99
es,college,colegio,Universidad,0.22,0.82
es,onsite restaurants,restaurantes en el sitio,Restaurantes,0.67,0.90
es,newspapers,periódico,Periódicos,0.95,0.63
es,solar pv,Paneles fotovoltaicos solares,Energía solar fotovoltaica,0.58,0.92
es,storage areas,áreas de almacenamiento,Almacenes,0.50,0.20
es,associated energy supplies,fuentes de energía asociadas,Suministros energéticos asociados,0.66,0.93
es,medium passenger services,servicios de transporte de pasajeros de media distancia,Servicios de pasajeros medios,0.67,0.89
es,student residences,Residencias universitarias,Residencias de estudiantes,0.62,0.78
es,storage furniture,muebles de almacenamiento,Muebles de almacenaje,0.87,0.59
es,assembly lines,línea de ensamblaje,Líneas de montaje,0.72,0.91
es,boreholdes,Boreholdes,Sondeos,0.47,0.82
es,footbridges,pasarela,pasarelas,0.94,0.77
es,sweet potatoes,boniato,Boniatos,0.93,0.93
es,barracks,caserones,Cuarteles,0.56,0.46
es,emergency medical services,servicios médicos de emergencia,Servicios médicos de urgencia,0.93,0.91
es,cauliflowers  broccoli,coliflor y brócoli,Coliflores y brécol,0.86,0.62
es,online storefronts,tienda en línea,Escaparates en línea,0.63,0.63
es,poles,pólos,Postes,0.55,0.50
es,house trailers,casa móvil,Remolques casa,0.33,0.64
es,cherries  sour cherries,cerezas y cerezas ácidas,Cerezas y guindas,0.68,0.42
es,storage tanks,tanques de almacenamiento,Depósitos,0.29,0.33
es,early childhood center,Centro de educación infantil,Centro infantil,0.70,0.92
es,outpatient centers,centro ambulatorio,Centros ambulatorios,0.95,0.95
es,regasification terminals,terminal de regasificación,Terminales de regasificación,0.96,0.90
es,school water facilities,instalaciones de agua potable escolar,Instalaciones escolares de agua,0.62,0.96
es,chairs,presidente,Sillas,0.25,0.30
es,milling machines,máquinas de fresado,Fresadoras,0.48,0.45
es,recreation grounds,área de recreo,Terrenos de recreo,0.75,0.80
es,boat houses,casa de botes,Casas flotantes,0.64,0.76
es,driling rigs onshore,perforadora terrestre,Plataformas de perforación en tierra,0.46,0.89
es,water sources,fuente de agua,Fuentes de agua,0.97,0.97
es,haul tracks,pista de transporte,Vías de arrastre,0.51,0.58
es,handling machineries,equipos de manipulación,Maquinaria de manipulación,0.78,0.91
es,inroom appliances,Aparatos de habitación,Electrodomésticos en la habitación,0.61,0.68
es,gooseberries,grosellas,Grosellas espinosas,0.64,0.90
es,diagnostic  laboratory services,Servicios de diagnóstico y de laboratorio,Servicios de diagnóstico y laboratorio,0.96,1.00
es,filming locations,locaciones de filmación,Lugares de rodaje,0.45,0.82
es,batteries,baterías,Pilas,0.46,0.22
es,storage facilities,instalaciones de almacenamiento,Almacenes,0.40,0.19
es,forage products nec,"Productos de forraje, otros","Productos forrajeros, n.c.o.p.",0.78,0.73
es,protection walls,muro de protección,muros de protección,0.97,0.95
es,turbines,turbina,Turbinas,0.93,0.83
es,graveyards,cementerio,cementerios,0.95,0.98
es,stalls,estancamiento,Puestos,0.40,0.71
es,sound stages,plataformas de sonido,Escenarios sonoros,0.41,0.82
es,backhoes,retroexcavadora,Retroexcavadoras,0.97,0.95
es,editing hardwarde,Hardware de edición,Edición de hardwarde,0.46,0.37
es,supporting equipments,Equipos de soporte,Equipos de apoyo,0.76,0.97
es,shelter,albergue,Refugio,0.27,0.53
es,marketing facilities,infraestructuras de marketing,instalaciones de comercialización,0.45,0.88
es,pipe culverts,culvert tubular,alcantarillas,0.29,0.44
es,other connective,otro conector lógico,Otros conectivos,0.67,0.46
es,sewage pipelines,tuberías de alcantarillado,Canalizaciones de aguas residuales,0.27,0.69
es,manufacturing plant,planta de fabricación,Fábrica,0.50,0.62
es,fishing engines,motor de pesca,Motores de pesca,0.93,0.98
es,cameras,cámara,Cámaras,0.92,0.79
es,record storage sites,sitio de almacenamiento de registros,Almacenes de archivos,0.56,0.66
es,pumps,bomba,Bombas,0.91,0.92
es,correctionaries,correcciónarios,Correccionales,0.83,0.89
es,vacuum trucks,camión de aspiración,Camiones aspiradores,0.75,0.73
es,medicines,medicamentos,Medicines,0.67,0.95
es,asphalt pavers,pavimentadora de asfalto,Adoquines de asfalto,0.64,0.94
es,restaurants,restaurante,Restaurantes,0.96,0.91
es,raspberries,frambuesa,Frambuesas,0.95,0.73
es,industrial units,unidades industriales,Naves industriales,0.87,0.61
es,students libraries,bibliotecas estudiantiles,Bibliotecas para estudiantes,0.87,0.96
es,fishing gear,equipo de pesca,Artes de pesca,0.69,0.90
es,scaffolding,andamiaje,Andamios,0.71,0.90
es,major fixtures,componentes principales,Principales accesorios,0.49,0.72
es,separation equipment,Equipo de separación,Equipos de separación,0.98,1.00
es,pipes,tubo,Tuberías,0.50,0.76
es,cloves,clavo de olor,Clavo,0.56,0.37
es,water trucks,camión de agua,Camiones cisterna,0.58,0.28
es,fishing vesselsboats,embarcaciones de pesca,Barcos de pesca,0.81,0.89
es,treatment plants,planta de tratamiento,Depuradoras,0.31,0.40
es,school cafeteria,cafetería escolar,Comedor escolar,0.69,0.66
es,vanilla,vanilla,Vainilla,0.93,0.42
es,studios music,música de estudio,Studios music,0.40,0.87
es,distribution centers,centro de distribución,Centros de distribución,0.98,0.98
es,pipeline network,red de tuberías,Red de oleoductos,0.56,0.76
es,grinding machinery,máquinas de rectificado,Maquinaria de rectificado,0.92,0.96
es,batching plants,planta de dosificación de concreto,Plantas de hormigón,0.53,0.57
es,river intakes,tomas de río,tomas fluviales,0.52,0.57
es,shopping centers,centro comercial,Centros comerciales,0.91,0.86
es,tunnels,túnel,Túneles,0.83,0.38
es,prisons,prisión,Prisiones,0.88,0.94
es,apples 2,Apples 2,Manzanas 2,0.44,0.93
es,wells,pozo,Pozos,0.89,0.91
es,rollers,rodillo,Rodillos,0.93,0.29
es,movie studios,estudio cinematográfico,Estudios de cine,0.62,0.87
es,parking facilities,instalaciones de estacionamiento,Aparcamiento,0.45,0.46
es,spinach,espinaca,Espinacas,0.94,0.81
es,mobile manufactured houses,casa móvil,Casas móviles/fabricadas,0.61,0.89
es,mobile healthcare unit,Unidad móvil de atención médica,Unidad móvil de asistencia sanitaria,0.75,0.99
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86,0.96
es,aquaculture  agriculturefisheries  agriculture,"Acicultura - Agricultura, Pesca - Agricultura","Acuicultura - Agricultura, Pesca - Agricultura",0.99,0.98
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86,0.96
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86,0.96
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86,0.96
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,aquaculture  agriculture,Aculturación - Agricultura,Acuicultura - Agricultura,0.86,0.96
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,commerce and trade,Comercio y comercio,Comercio,0.59,0.90
es,ecosystems diversity,Biodiversidad de ecosistemas,Diversidad de los ecosistemas,0.88,0.91
es,human mobility,mobilidad humana,Movilidad (humana),0.94,0.42
es,community  sense of,sentido de comunidad,Comunidad (sentido de),0.50,0.87
es,sacred sites,sitios sagrados,Lugares sagrados,0.65,0.97
es,social fabric,tejido social,Teje social,0.83,0.91
es,insectrelated diseases,Enfermedades relacionadas con insectos,Enfermedades relacionadas con los insectos,0.95,1.00
es,animal infectious diseases,enfermedades infecciosas animales,Enfermedades infecciosas de los animales,0.90,0.99
es,environmental degradation,degradación ambiental,Degradación medioambiental,0.89,0.98
es,extraterrestrial,extraterrestre,Extraterrestres,0.97,0.93
es,seismic,seismico,Sísmico,0.93,0.56
es,volcanic,volcánico,Volcánica,0.89,0.97
es,other geohazard,Otro peligro geológico,Otros riesgos geológicos,0.78,0.96
es,convectiverelated,convectivo,Relacionado con la convección,0.41,0.55
es,particlerelated,relacionado con partículas,Relacionado con las partículas,0.93,0.99
es,marinerelated,marino,Relacionado con el mar,0.21,0.85
es,precipitationrelated,precipitación,Relacionado con las precipitaciones,0.54,0.92
es,temperaturerelated,temperatura,Relacionado con la temperatura,0.54,0.92
es,postconflict,postconflicto,Tras el conflicto,0.67,0.93
es,behavioural,conductual,Comportamiento,0.33,0.69
es,constructionstructural failure,fallo estructural,Fallos de construcción/estructurales,0.65,0.81
es,cyber hazards,riesgo cibernético,Ciberriesgos,0.40,0.00
es,industrial failure,fallo industrial,Fracaso industrial,0.82,0.95
es,waste,residuo,Residuos,0.93,0.72
es,ground failure,fallo del suelo,Fallo en tierra,0.60,0.87
es,other biological hazards,Otros peligros biológicos,Otros riesgos biológicos,0.86,0.97
es,space weather,clima espacial,Meteorología espacial,0.69,0.83
es,harmful algal blooms,Floración de algas nocivas,Floraciones de algas nocivas,0.96,0.99
es,locust upsurge,epidemia de langostas,Aumento de langostas,0.68,0.65
es,humanwildlife conflict,Conflicto humano-fauna,Conflictos entre el hombre y la fauna,0.62,0.81
es,suicide cluster,cluster de suicidios,Grupo de suicidios,0.74,0.92
es,antimicrobial resistance,Resistencia antimicrobiana,Antimicrobial Resistance,0.52,0.98
es,bacterial plant disease,Enfermedad bacteriana de las plantas,Enfermedades bacterianas de las plantas,0.96,1.00
es,fungal plant disease,Enfermedad fitopatológica fúngica,Enfermedades fúngicas de las plantas,0.52,0.78
